yas,maas,sehir,egitim,abonelik_suresi,destek_talebi,aylik_ucret,churn
58.0,81090.0,Bursa,On Lisans,12.0,3.0,562.0,0
48.0,78640.0,Izmir,Lisans,53.0,5.0,692.0,0
34.0,25206.0,Izmir,On Lisans,1.0,2.0,577.0,1
27.0,46518.0,Ankara,On Lisans,58.0,4.0,303.0,0
40.0,47361.0,Antalya,Lisans,58.0,3.0,488.0,0
58.0,81873.0,Bursa,Yuksek Lisans,1.0,3.0,478.0,1
38.0,48419.0,Istanbul,On Lisans,47.0,2.0,828.0,0
,75636.0,Izmir,Yuksek Lisans,34.0,5.0,300.0,1
30.0,82010.0,Ankara,On Lisans,32.0,2.0,858.0,1
30.0,73702.0,Ankara,Yuksek Lisans,54.0,3.0,853.0,0
43.0,75015.0,Bursa,Lisans,48.0,4.0,513.0,0
55.0,76942.0,Izmir,On Lisans,25.0,8.0,667.0,1
59.0,81560.0,Antalya,Lisans,40.0,3.0,345.0,0
43.0,66523.0,Izmir,On Lisans,45.0,4.0,337.0,0
22.0,79268.0,Bursa,Lisans,53.0,5.0,327.0,1
41.0,70151.0,Bursa,Lisans,1.0,3.0,537.0,0
21.0,47403.0,Izmir,On Lisans,16.0,3.0,369.0,0
43.0,43141.0,Bursa,On Lisans,39.0,5.0,740.0,0
49.0,,Izmir,On Lisans,5.0,1.0,701.0,0
57.0,65342.0,Istanbul,Lise,22.0,5.0,749.0,1
21.0,31374.0,Izmir,Yuksek Lisans,29.0,0.0,414.0,0
40.0,81044.0,Izmir,Lise,55.0,4.0,431.0,0
52.0,26678.0,Bursa,Lise,3.0,1.0,718.0,0
31.0,77394.0,Bursa,Lisans,12.0,7.0,984.0,0
41.0,78788.0,Ankara,On Lisans,26.0,1.0,256.0,0
44.0,58827.0,Ankara,Yuksek Lisans,16.0,2.0,579.0,0
46.0,80820.0,Istanbul,Lisans,51.0,2.0,922.0,0
47.0,87623.0,Ankara,Lise,37.0,2.0,400.0,0
35.0,41198.0,Izmir,On Lisans,22.0,0.0,334.0,0
34.0,34914.0,Bursa,Lisans,57.0,3.0,396.0,0
22.0,52890.0,Ankara,On Lisans,29.0,1.0,873.0,0
56.0,77309.0,Ankara,,14.0,4.0,630.0,0
26.0,47299.0,Istanbul,On Lisans,28.0,3.0,797.0,1
40.0,68585.0,Istanbul,Lise,5.0,5.0,534.0,0
28.0,68689.0,Izmir,Yuksek Lisans,47.0,2.0,949.0,0
58.0,89044.0,Bursa,Lise,49.0,0.0,331.0,1
37.0,67557.0,Istanbul,Yuksek Lisans,30.0,1.0,763.0,0
23.0,74080.0,Ankara,On Lisans,46.0,2.0,958.0,1
44.0,69020.0,Bursa,Lisans,52.0,6.0,772.0,1
33.0,27693.0,Bursa,Lise,5.0,2.0,995.0,0
28.0,54467.0,Ankara,Yuksek Lisans,12.0,3.0,635.0,1
45.0,54723.0,Istanbul,Lise,16.0,1.0,956.0,0
21.0,71699.0,Ankara,Yuksek Lisans,26.0,4.0,720.0,0
39.0,28627.0,Bursa,Lise,26.0,3.0,368.0,0
47.0,50939.0,Antalya,Yuksek Lisans,,6.0,645.0,1
26.0,73925.0,Antalya,Yuksek Lisans,21.0,4.0,781.0,0
27.0,67941.0,Izmir,On Lisans,39.0,4.0,510.0,0
54.0,46834.0,Ankara,Yuksek Lisans,36.0,6.0,505.0,0
33.0,43047.0,Ankara,On Lisans,33.0,0.0,983.0,0
36.0,51105.0,Izmir,Yuksek Lisans,30.0,2.0,475.0,1
55.0,35230.0,Izmir,Lisans,37.0,3.0,302.0,0
59.0,40707.0,Izmir,Lisans,23.0,3.0,749.0,0
23.0,46976.0,Bursa,Lisans,58.0,6.0,755.0,0
21.0,69262.0,Ankara,Yuksek Lisans,10.0,3.0,613.0,1
25.0,84581.0,Bursa,On Lisans,54.0,4.0,529.0,0
23.0,48776.0,Izmir,On Lisans,5.0,2.0,842.0,0
48.0,55080.0,Ankara,Yuksek Lisans,36.0,,963.0,0
37.0,87840.0,Bursa,Lisans,34.0,1.0,407.0,0
45.0,26306.0,Bursa,Lisans,52.0,2.0,881.0,0
53.0,86373.0,Izmir,On Lisans,31.0,5.0,308.0,0
29.0,31776.0,Ankara,Lisans,10.0,1.0,976.0,1
55.0,52251.0,Izmir,Lise,58.0,1.0,377.0,0
33.0,87412.0,Ankara,On Lisans,19.0,3.0,985.0,0
50.0,80016.0,Antalya,Lisans,58.0,3.0,970.0,1
34.0,34474.0,Istanbul,On Lisans,32.0,4.0,364.0,1
27.0,65294.0,Istanbul,Lise,1.0,2.0,458.0,0
33.0,83053.0,Istanbul,On Lisans,56.0,4.0,775.0,1
42.0,46959.0,Izmir,On Lisans,5.0,5.0,770.0,0
59.0,30530.0,Antalya,On Lisans,45.0,4.0,801.0,1
40.0,54320.0,Ankara,On Lisans,4.0,1.0,486.0,0
35.0,78565.0,Bursa,Lise,16.0,2.0,530.0,1
37.0,28748.0,Ankara,Yuksek Lisans,24.0,3.0,608.0,0
43.0,56968.0,Bursa,On Lisans,16.0,1.0,450.0,0
45.0,57562.0,Ankara,On Lisans,55.0,0.0,527.0,0
44.0,38545.0,Antalya,Lisans,2.0,5.0,484.0,1
60.0,87123.0,Bursa,On Lisans,49.0,7.0,743.0,1
48.0,25663.0,Izmir,,28.0,3.0,253.0,0
34.0,59766.0,Ankara,Yuksek Lisans,32.0,4.0,915.0,1
20.0,32994.0,Ankara,Lise,27.0,4.0,691.0,1
44.0,53021.0,Bursa,Lise,20.0,3.0,278.0,0
26.0,86087.0,Izmir,Yuksek Lisans,24.0,2.0,358.0,0
28.0,55303.0,Izmir,Lise,12.0,0.0,859.0,0
43.0,75647.0,Antalya,Yuksek Lisans,50.0,2.0,976.0,0
,28304.0,Izmir,Yuksek Lisans,35.0,4.0,324.0,0
27.0,77915.0,Izmir,Yuksek Lisans,60.0,5.0,395.0,0
43.0,79384.0,Izmir,Lise,33.0,0.0,377.0,0
30.0,76005.0,Istanbul,Lisans,33.0,6.0,291.0,0
36.0,71576.0,Antalya,Yuksek Lisans,51.0,5.0,605.0,0
27.0,64353.0,Ankara,On Lisans,43.0,6.0,290.0,1
54.0,87003.0,Bursa,Lise,37.0,2.0,283.0,0
54.0,42675.0,Ankara,Yuksek Lisans,12.0,3.0,266.0,0
52.0,77733.0,Antalya,Yuksek Lisans,3.0,4.0,926.0,1
24.0,69417.0,Bursa,On Lisans,1.0,6.0,402.0,1
58.0,48938.0,Antalya,Lisans,33.0,4.0,627.0,0
60.0,,Izmir,Lisans,40.0,4.0,837.0,0
47.0,26636.0,Bursa,Lisans,10.0,4.0,848.0,1
26.0,45080.0,Izmir,Yuksek Lisans,43.0,6.0,878.0,0
28.0,85343.0,Ankara,Yuksek Lisans,44.0,2.0,591.0,1
27.0,52728.0,Ankara,Yuksek Lisans,29.0,3.0,276.0,0
31.0,74850.0,Bursa,Lise,13.0,3.0,536.0,0
53.0,51736.0,Bursa,On Lisans,12.0,2.0,895.0,0
52.0,53673.0,Antalya,Yuksek Lisans,31.0,3.0,980.0,0
42.0,62505.0,Antalya,On Lisans,,1.0,417.0,0
43.0,72323.0,Izmir,On Lisans,2.0,3.0,859.0,1
56.0,71645.0,Bursa,Lisans,51.0,1.0,517.0,0
54.0,25854.0,Ankara,Lise,50.0,3.0,998.0,1
59.0,49548.0,Antalya,Yuksek Lisans,35.0,3.0,704.0,0
41.0,63623.0,Antalya,Lisans,23.0,3.0,934.0,1
46.0,32392.0,Ankara,Lisans,17.0,6.0,650.0,1
54.0,80680.0,Antalya,Yuksek Lisans,26.0,3.0,725.0,1
20.0,85818.0,Izmir,On Lisans,8.0,0.0,951.0,0
54.0,,Bursa,Lisans,29.0,3.0,883.0,1
56.0,79401.0,Ankara,On Lisans,26.0,3.0,807.0,0
33.0,46556.0,Bursa,Lise,10.0,3.0,825.0,0
22.0,75859.0,Antalya,On Lisans,26.0,2.0,379.0,0
20.0,85121.0,Antalya,Lise,34.0,4.0,612.0,1
24.0,63559.0,Ankara,On Lisans,51.0,4.0,954.0,0
